node_id,betweenness,pagerank,network_community_id,semantic_cluster_id,top_keywords,neighbor_consistency
77th Grand Battalion,1.0540305649699649e-06,0.0001668054635358395,0,5,"honfler, custodes, denial, magron, loyalists",0.6843771934509277
Kyr Vhalen,6.635601511288187e-05,0.0001650504526636393,0,8,"honsou, meduson, clan, warsmith, cain",0.6189507246017456
Zhinnon,6.635601511288187e-05,0.00012852827673866656,0,5,"honfler, custodes, denial, magron, loyalists",0.6042724847793579
Aan Kolver,0.0,5.7403167991312944e-05,1,8,"honsou, meduson, clan, warsmith, cain",0.5578249096870422
Ferrus Manus,0.005373146300432249,0.005115333150033859,1,6,"fulgrim, perturabo, dorn, m30, curze",0.6142659783363342
Shadrak Meduson,0.003844009477602548,0.002275061049013505,1,8,"honsou, meduson, clan, warsmith, cain",0.4773781895637512
Abasi Amun,2.8541609803436303e-05,0.00014455595206950894,2,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.5504393577575684
Appollus,0.0005369303187093573,0.0004093364490898147,2,3,"rafen, arkio, baal, sanguinius, mephiston",0.5452762842178345
Sanguinius,0.026659604135638656,0.009480491126844213,2,6,"fulgrim, perturabo, dorn, m30, curze",0.5777345299720764
Abat,0.0,0.00017644122421798714,3,13,"tanith, gaunt, sabbat, omnibus, vervunhive",0.6101275682449341
Brostin,0.0005667926111261397,0.0003856556961930686,3,13,"tanith, gaunt, sabbat, omnibus, vervunhive",0.5831245183944702
Wheln,0.00014985300992896233,0.000215020736732896,3,13,"tanith, gaunt, sabbat, omnibus, vervunhive",0.5530268549919128
Abdaziel Magron,0.00044680780677738765,0.0001690275583100614,4,5,"honfler, custodes, denial, magron, loyalists",0.6046090126037598
Zhebdek Abaddas,2.2551373526169852e-05,0.00012934000623301232,4,11,"luther, astelan, lion, caliban, jonson",0.6186391711235046
Lion El'Jonson,0.023787795003443343,0.008936567821394539,4,6,"fulgrim, perturabo, dorn, m30, curze",0.5715785026550293
Abdemon,1.2190728361377827e-06,5.9908732711021816e-05,1,5,"honfler, custodes, denial, magron, loyalists",0.5411857962608337
Fulgrim,0.014873448769512857,0.0077032586500010375,1,6,"fulgrim, perturabo, dorn, m30, curze",0.5329857468605042
Abdulias Anwar,0.0,8.397266322995822e-05,5,1,"necromunda, helmawr, kal, gerontius, haera",0.5345531702041626
Volquan Sark,0.0,8.397266322995822e-05,5,9,"khan, huron, sabbat, telomane, sek",0.6171196699142456
Drakan Vangorich,0.0013918537729152363,0.0016432044374338568,5,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.4882335364818573
Koorland,0.005434662791365998,0.002280470713079762,5,6,"fulgrim, perturabo, dorn, m30, curze",0.6140667796134949
Udin Macht Udo,0.0009561390127933902,0.0009038834891234208,5,7,"sicarius, titus, calgar, macragge, ventanus",0.6039482951164246
Helad Gibran,1.3907920019774329e-05,0.00011559672867917333,5,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.5652951598167419
Abel Tonnhauser,0.00013338277694892648,9.987660703150726e-05,5,15,"cain, cadian, armageddon, drinkers, yarrick",0.6488971710205078
Rucka,9.582096045181499e-08,9.987660703150726e-05,5,15,"cain, cadian, armageddon, drinkers, yarrick",0.5258835554122925
Ko'tan Kadai,0.0006465605066086512,0.0005051485764847812,5,15,"cain, cadian, armageddon, drinkers, yarrick",0.40970414876937866
Abel Verreault,0.0,5.7403167991312944e-05,5,15,"cain, cadian, armageddon, drinkers, yarrick",0.5829362869262695
Heth,0.0,0.00028073876250230505,5,9,"khan, huron, sabbat, telomane, sek",0.6271260380744934
Lansung,0.0006320926517915973,0.0009589944506085762,5,7,"sicarius, titus, calgar, macragge, ventanus",0.5983498692512512
Maximus Thane,0.0035916336601277818,0.0015336026562118798,5,6,"fulgrim, perturabo, dorn, m30, curze",0.5035756230354309
Tobris Ekharth,1.2981673250141563e-05,0.00028876473303999687,5,9,"khan, huron, sabbat, telomane, sek",0.5582024455070496
Oskar Lowis,0.0,6.350421058551826e-05,5,10,"style, khan, sarro, salamanders, kor",0.4023556113243103
Abel Zorael,0.00026753212158146745,0.00041013741308126796,2,3,"rafen, arkio, baal, sanguinius, mephiston",0.5923604369163513
Ka'Bandha,0.0013253179145739692,0.0016898824320671127,2,3,"rafen, arkio, baal, sanguinius, mephiston",0.48193708062171936
Francesi Castigon,9.582096045181499e-08,0.00023161488324225082,2,3,"rafen, arkio, baal, sanguinius, mephiston",0.47256168723106384
Abelard Werserian,0.0,0.00020293853612371026,6,5,"honfler, custodes, denial, magron, loyalists",0.8511465787887573
Theodora von Valancius,0.0007983323320042966,0.00048131638435004905,6,5,"honfler, custodes, denial, magron, loyalists",0.5507127642631531
Abhani Lus Mohana,0.00026532823949107574,0.00021740877545778342,7,14,"sisters, sororitas, aleya, adepta, saint",0.7380720973014832
Esha Ani Mohana,0.0018350292879667721,0.0002201533623342219,7,14,"sisters, sororitas, aleya, adepta, saint",0.6054074168205261
Terent Harrtek,0.000542307850612472,0.00017673681753997448,7,0,"heht, phoenix, yriel, craftworld, iyanden",0.7271513938903809
Mohana Mankata VI,0.0,0.00015652363471787295,7,14,"sisters, sororitas, aleya, adepta, saint",
Abraham Vinculus,0.00017569643603623311,0.000225164241185339,8,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.6168708205223083
Ludoldus,0.00155573490142274,0.0005204231683125844,8,2,"templars, sigismund, sabbat, saint, creed",0.43260547518730164
Jasmine,0.0,0.00012159514271541875,8,14,"sisters, sororitas, aleya, adepta, saint",0.5847703218460083
Edwin Savaul,3.2419424952864076e-06,0.00043861325861234207,8,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.6492802500724792
Abraxas,0.0,7.280685150286566e-05,9,9,"khan, huron, sabbat, telomane, sek",0.5277628898620605
